Entity,Year,Population (historical estimates)
Austria,1800,3000000
Austria,1801,3017451
Austria,1802,3035004
Austria,1803,3052658
Austria,1804,3070416
Austria,1805,3088277
Austria,1806,3106241
Austria,1807,3124310
Austria,1808,3142485
Austria,1809,3160765
Austria,1810,3179258
Austria,1811,3197752
Austria,1812,3216353
Austria,1813,3235063
Austria,1814,3253881
Austria,1815,3272809
Austria,1816,3291847
Austria,1817,3310996
Austria,1818,3330256
Austria,1819,3349015
Austria,1820,3367266
Austria,1821,3385004
Austria,1822,3402223
Austria,1823,3418916
Austria,1824,3435691
Austria,1825,3452549
Austria,1826,3469489
Austria,1827,3486512
Austria,1828,3503619
Austria,1829,3520820
Austria,1830,3538115
Austria,1831,3555505
Austria,1832,3572991
Austria,1833,3590572
Austria,1834,3608240
Austria,1835,3625995
Austria,1836,3643838
Austria,1837,3661768
Austria,1838,3679786
Austria,1839,3698789
Austria,1840,3718786
Austria,1841,3739787
Austria,1842,3761804
Austria,1843,3784847
Austria,1844,3808031
Austria,1845,3831357
Austria,1846,3854826
Austria,1847,3878438
Austria,1848,3902195
Austria,1849,3926782
Austria,1850,3952208
Austria,1851,3978557
Austria,1852,4005766
Austria,1853,4033846
Austria,1854,4062123
Austria,1855,4090598
Austria,1856,4119272
Austria,1857,4148148
Austria,1858,4177226
Austria,1859,4206120
Austria,1860,4234828
Austria,1861,4263344
Austria,1862,4291666
Austria,1863,4319789
Austria,1864,4348096
Austria,1865,4376588
Austria,1866,4405267
Austria,1867,4434134
Austria,1868,4463191
Austria,1869,4494618
Austria,1870,4528451
Austria,1871,4564726
Austria,1872,4603478
Austria,1873,4644744
Austria,1874,4686380
Austria,1875,4728390
Austria,1876,4770776
Austria,1877,4813542
Austria,1878,4856691
Austria,1879,4900094
Austria,1880,4943751
Austria,1881,4987664
Austria,1882,5031834
Austria,1883,5076261
Austria,1884,5121081
Austria,1885,5166297
Austria,1886,5211912
Austria,1887,5257929
Austria,1888,5304353
Austria,1889,5352739
Austria,1890,5403121
Austria,1891,5455531
Austria,1892,5510005
Austria,1893,5566578
Austria,1894,5623731
Austria,1895,5681470
Austria,1896,5739803
Austria,1897,5798734
Austria,1898,5858271
Austria,1899,5918416
Austria,1900,5979176
Austria,1901,6040557
Austria,1902,6102565
Austria,1903,6165207
Austria,1904,6228492
Austria,1905,6292427
Austria,1906,6357018
Austria,1907,6422272
Austria,1908,6488195
Austria,1909,6538009
Austria,1910,6571587
Austria,1911,6588803
Austria,1912,6589530
Austria,1913,6573637
Austria,1914,6557782
Austria,1915,6541966
Austria,1916,6526188
Austria,1917,6510448
Austria,1918,6494625
Austria,1919,6486496
Austria,1920,6486069
Austria,1921,6493353
Austria,1922,6508355
Austria,1923,6531083
Austria,1924,6553892
Austria,1925,6576779
Austria,1926,6599747
Austria,1927,6622795
Austria,1928,6645923
Austria,1929,6664878
Austria,1930,6679644
Austria,1931,6690204
Austria,1932,6696542
Austria,1933,6698643
Austria,1934,6700745
Austria,1935,6702847
Austria,1936,6704950
Austria,1937,6707053
Austria,1938,6709158
Austria,1939,6715380
Austria,1940,6725734
Austria,1941,6740236
Austria,1942,6758902
Austria,1943,6781747
Austria,1944,6804668
Austria,1945,6827667
Austria,1946,6850744
Austria,1947,6873899
Austria,1948,6897132
Austria,1949,6917983
Austria,1950,6936443
Austria,1951,6930432
Austria,1952,6927017
Austria,1953,6931796
Austria,1954,6939644
Austria,1955,6946266
Austria,1956,6951744
Austria,1957,6965322
Austria,1958,6986795
Austria,1959,7013602
Austria,1960,7046554
Austria,1961,7085440
Austria,1962,7128972
Austria,1963,7174878
Austria,1964,7222897
Austria,1965,7269892
Austria,1966,7320920
Austria,1967,7375632
Austria,1968,7413813
Austria,1969,7439324
Austria,1970,7465310
Austria,1971,7498548
Austria,1972,7542083
Austria,1973,7584024
Austria,1974,7597028
Austria,1975,7576929
Austria,1976,7563509
Austria,1977,7566357
Austria,1978,7560248
Austria,1979,7547482
Austria,1980,7547564
Austria,1981,7566318
Austria,1982,7571291
Austria,1983,7559110
Austria,1984,7558564
Austria,1985,7562114
Austria,1986,7567247
Austria,1987,7572379
Austria,1988,7583766
Austria,1989,7619393
Austria,1990,7678732
Austria,1991,7755640
Austria,1992,7840816
Austria,1993,7905280
Austria,1994,7935366
Austria,1995,7947293
Austria,1996,7958043
Austria,1997,7967086
Austria,1998,7975856
Austria,1999,7991382
Austria,2000,8010425
Austria,2001,8039633
Austria,2002,8078994
Austria,2003,8120105
Austria,2004,8171215
Austria,2005,8227034
Austria,2006,8267771
Austria,2007,8294720
Austria,2008,8321134
Austria,2009,8342939
Austria,2010,8362829
Austria,2011,8391201
Austria,2012,8429641
Austria,2013,8479542
Austria,2014,8546066
Austria,2015,8642422
Austria,2016,8736491
Austria,2017,8797497
Austria,2018,8840518
Austria,2019,8879939
Austria,2020,8907780
Austria,2021,8922086
Belgium,1800,3250000
Belgium,1801,3258961
Belgium,1802,3267947
Belgium,1803,3276958
Belgium,1804,3285994
Belgium,1805,3295054
Belgium,1806,3304140
Belgium,1807,3313251
Belgium,1808,3322386
Belgium,1809,3331547
Belgium,1810,3340759
Belgium,1811,3349970
Belgium,1812,3359207
Belgium,1813,3368470
Belgium,1814,3377758
Belgium,1815,3387071
Belgium,1816,3396411
Belgium,1817,3405776
Belgium,1818,3415167
Belgium,1819,3428762
Belgium,1820,3446611
Belgium,1821,3468762
Belgium,1822,3495265
Belgium,1823,3526170
Belgium,1824,3557348
Belgium,1825,3588801
Belgium,1826,3620533
Belgium,1827,3652545
Belgium,1828,3684841
Belgium,1829,3717143
Belgium,1830,3749449
Belgium,1831,3781756
Belgium,1832,3814064
Belgium,1833,3846368
Belgium,1834,3878946
Belgium,1835,3911800
Belgium,1836,3944932
Belgium,1837,3978344
Belgium,1838,4012040
Belgium,1839,4046206
Belgium,1840,4080847
Belgium,1841,4115969
Belgium,1842,4151578
Belgium,1843,4187679
Belgium,1844,4224094
Belgium,1845,4260826
Belgium,1846,4297878
Belgium,1847,4335251
Belgium,1848,4372950
Belgium,1849,4408894
Belgium,1850,4443056
Belgium,1851,4475157
Belgium,1852,4505413
Belgium,1853,4533797
Belgium,1854,4562359
Belgium,1855,4591101
Belgium,1856,4620024
Belgium,1857,4649129
Belgium,1858,4678418
Belgium,1859,4708755
Belgium,1860,4740154
Belgium,1861,4772628
Belgium,1862,4806190
Belgium,1863,4840852
Belgium,1864,4875764
Belgium,1865,4910928
Belgium,1866,4946346
Belgium,1867,4982019
Belgium,1868,5017949
Belgium,1869,5055298
Belgium,1870,5094086
Belgium,1871,5134332
Belgium,1872,5176056
Belgium,1873,5219281
Belgium,1874,5262866
Belgium,1875,5306815
Belgium,1876,5351131
Belgium,1877,5395817
Belgium,1878,5440877
Belgium,1879,5487623
Belgium,1880,5536082
Belgium,1881,5586281
Belgium,1882,5638248
Belgium,1883,5692009
Belgium,1884,5746284
Belgium,1885,5801075
Belgium,1886,5856389
Belgium,1887,5912231
Belgium,1888,5968605
Belgium,1889,6025743
Belgium,1890,6083656
Belgium,1891,6142352
Belgium,1892,6201841
Belgium,1893,6262134
Belgium,1894,6323013
Belgium,1895,6384484
Belgium,1896,6446552
Belgium,1897,6509224
Belgium,1898,6572505
Belgium,1899,6638079
Belgium,1900,6705987
Belgium,1901,6776269
Belgium,1902,6848968
Belgium,1903,6924126
Belgium,1904,7000108
Belgium,1905,7076924
Belgium,1906,7154584
Belgium,1907,7233095
Belgium,1908,7312468
Belgium,1909,7377299
Belgium,1910,7427418
Belgium,1911,7462655
